,msla,msla (orig),trend,msla (detrend)
1983-11-30,-5.483333333333333,-3.5,-0.5822656734947249,-4.901067659838608
1983-12-31,-2.2000000000000006,0.3,-0.5783004019328457,-1.621699598067155
1984-01-31,-4.925000000000001,-1.8,-0.5743351303709661,-4.350664869629035
1984-02-29,-4.658333333333331,-2.0,-0.5703698588090864,-4.087963474524245
1984-03-31,-7.366666666666669,-5.1,-0.5664045872472068,-6.800262079419462
1984-04-30,-6.825000000000001,-3.9,-0.562439315685328,-6.262560684314673
1984-05-31,-12.708333333333336,-8.5,-0.5584740441234484,-12.149859289209887
1984-06-30,-10.491666666666665,-8.3,-0.5545087725615687,-9.937157894105097
1984-07-31,-5.008333333333333,-1.8,-0.5505435009996891,-4.457789832333644
1984-08-31,-5.991666666666666,-2.3,-0.5465782294378094,-5.445088437228857
1984-09-30,0.5249999999999997,2.3,-0.5426129578759307,1.0676129578759304
1984-10-31,-2.475,0.1,-0.538647686314051,-1.936352313685949
1984-11-30,-7.483333333333333,-5.5,-0.5346824147521714,-6.948650918581162
1984-12-31,0.1999999999999993,2.7,-0.5307171431902917,0.730717143190291
1985-01-31,-1.8250000000000002,1.3,-0.5267518716284121,-1.298248128371588
1985-02-28,-2.758333333333332,-0.1,-0.5227866000665324,-2.2355467332667995
1985-03-31,0.23333333333333073,2.5,-0.5188213285046537,0.7521546618379844
1985-04-30,-4.125000000000002,-1.2,-0.514856056942774,-3.6101439430572277
1985-05-31,-5.108333333333335,-0.9,-0.5108907853808944,-4.597442547952441
1985-06-30,2.608333333333334,4.8,-0.5069255138190147,3.1152588471523486
1985-07-31,-1.2083333333333335,2.0,-0.5029602422571351,-0.7053730910761984
1985-08-31,,,-0.49899497069525633,
1985-09-30,,,-0.4950296991333767,
1985-10-31,1.625,4.2,-0.49106442757149704,2.116064427571497
1985-11-30,0.21666666666666679,2.2,-0.4870991560096174,0.7037658226762842
1985-12-31,-3.7000000000000006,-1.2,-0.48313388444773775,-3.216866115552263
1986-01-31,-4.7250000000000005,-1.6,-0.4791686128858581,-4.245831387114142
1986-02-28,-1.1583333333333314,1.5,-0.47520334132397934,-0.6831299920093521
1986-03-31,-1.7666666666666693,0.5,-0.4712380697620997,-1.2954285969045696
1986-04-30,-5.025000000000001,-2.1,-0.46727279820022005,-4.557727201799781
1986-05-31,-1.7083333333333348,2.5,-0.4633075266383404,-1.2450258066949944
1986-06-30,0.5083333333333337,2.7,-0.45934225507646076,0.9676755884097945
1986-07-31,-0.30833333333333357,2.9,-0.455376983514582,0.14704365018124843
1986-08-31,-1.3916666666666666,2.3,-0.45141171195270235,-0.9402549547139643
1986-09-30,-0.17500000000000027,1.6,-0.4474464403908227,0.27244644039082244
1986-10-31,-5.375,-2.8,-0.44348116882894306,-4.931518831171057
1986-11-30,-1.2833333333333334,0.7,-0.4395158972670634,-0.84381743606627
1986-12-31,-4.2,-1.7,-0.43555062570518377,-3.7644493742948164
1987-01-31,-3.7250000000000005,-0.6,-0.431585354143305,-3.2934146458566955
1987-02-28,-6.258333333333332,-3.6,-0.42762008258142536,-5.830713250751907
1987-03-31,-5.966666666666669,-3.7,-0.4236548110195457,-5.543011855647123
1987-04-30,-15.125,-12.2,-0.41968953945766607,-14.705310460542334
1987-05-31,-16.608333333333334,-12.4,-0.4157242678957864,-16.192609065437548
1987-06-30,,,-0.41175899633390767,
1987-07-31,,,-0.407793724772028,
1987-08-31,-7.791666666666666,-4.1,-0.4038284532101484,-7.387838213456518
1987-09-30,0.02499999999999991,1.8,-0.39986318164826873,0.42486318164826864
1987-10-31,-8.274999999999999,-5.7,-0.3958979100863891,-7.8791020899136095
