,msla,msla (orig),trend,msla (detrend)
1987-05-31,-2.9333333333333087,-1.0,-3.393435208992777,0.46010187565946836
1987-06-30,-6.869999999999976,-4.3,-3.3760885584186333,-3.493911441581343
1987-07-31,-2.1899999999999977,0.0,-3.358741907844493,1.1687419078444954
1987-08-31,-9.881818181818176,-7.2,-3.341395257270353,-6.540422924547823
1987-09-30,-6.166666666666657,-4.8,-3.3240486066962127,-2.8426180599704445
1987-10-31,-6.636363636363626,-4.1,-3.3067019561220725,-3.3296616802415535
1987-11-30,-7.618181818181824,-6.3,-3.2893553055479323,-4.328826512633892
1987-12-31,-4.290909090909082,-3.1,-3.2720086549737886,-1.0189004359352936
1988-01-31,,,-3.2546620043996484,
1988-02-29,-5.2099999999999795,-3.6,-3.237315353825508,-1.9726846461744714
1988-03-31,-12.583333333333343,-11.2,-3.219968703251368,-9.363364630081975
1988-04-30,-11.383333333333326,-9.5,-3.2026220526772278,-8.180711280656098
1988-05-31,-10.933333333333309,-9.0,-3.185275402103084,-7.748057931230225
1988-06-30,-8.969999999999999,-6.4,-3.167928751528944,-5.802071248471055
1988-07-31,-8.889999999999986,-6.7,-3.1505821009548036,-5.739417899045183
1988-08-31,-14.381818181818176,-11.7,-3.1332354503806634,-11.248582731437512
1988-09-30,-15.466666666666669,-14.1,-3.1158887998065232,-12.350777866860145
1988-10-31,-12.73636363636362,-10.2,-3.098542149232383,-9.637821487131237
1988-11-30,-10.618181818181824,-9.3,-3.0811954986582393,-7.536986319523585
1988-12-31,-9.690909090909088,-8.5,-3.063848848084099,-6.627060242824989
1989-01-31,-7.390909090909105,-6.9,-3.046502197509959,-4.344406893399146
1989-02-28,-3.109999999999985,-1.5,-3.0291555469358187,-0.08084445306416654
1989-03-31,-2.9833333333333485,-1.6,-3.0118088963616785,0.028475563028329987
1989-04-30,-2.2833333333333314,-0.4,-2.9944622457875347,0.7111289124542033
1989-05-31,-1.833333333333286,0.1,-2.9771155952133945,1.1437822618801086
1989-06-30,-4.869999999999976,-2.3,-2.9597689446392543,-1.9102310553607218
1989-07-31,-3.9899999999999807,-1.8,-2.942422294065114,-1.0475777059348665
1989-08-31,-7.881818181818176,-5.2,-2.925075643490974,-4.956742538327202
1989-09-30,-4.76666666666668,-3.4,-2.9077289929168337,-1.8589376737498462
1989-10-31,-5.636363636363626,-3.1,-2.89038234234269,-2.745981294020936
1989-11-30,1.2818181818181813,2.6,-2.87303569176855,4.154853873586731
1989-12-31,5.309090909090912,6.5,-2.8556890411944096,8.164779950285322
1990-01-31,7.609090909090895,8.1,-2.8383423906202694,10.447433299711165
1990-02-28,10.490000000000009,12.1,-2.820995740046129,13.310995740046138
1990-03-31,6.316666666666663,7.7,-2.8036490894719854,9.120315756138648
1990-04-30,2.2166666666666686,4.1,-2.7863024388978452,5.002969105564514
1990-05-31,-4.033333333333303,-2.1,-2.768955788323705,-1.264377545009598
1990-06-30,1.0300000000000011,3.6,-2.751609137749565,3.781609137749566
1990-07-31,3.3100000000000023,5.5,-2.7342624871754246,6.044262487175427
1990-08-31,4.318181818181813,7.0,-2.716915836601281,7.035097654783094
1990-09-30,8.833333333333343,10.2,-2.6995691860271407,11.532902519360483
1990-10-31,2.4636363636363683,5.0,-2.6822225354530005,5.145858899089369
1990-11-30,7.98181818181817,9.3,-2.6648758848788603,10.64669406669703
1990-12-31,10.809090909090912,12.0,-2.64752923430472,13.456620143395632
1991-01-31,5.609090909090895,6.1,-2.63018258373058,8.239273492821475
1991-02-28,0.29000000000002046,1.9,-2.612835933156436,2.9028359331564566
1991-03-31,4.916666666666657,6.3,-2.595489282582296,7.512155949248953
1991-04-30,1.0166666666666515,2.9,-2.5781426320081557,3.5948092986748073
1991-05-31,1.3666666666667027,3.3,-2.5607959814340155,3.927462648100718
1991-06-30,-2.6699999999999875,-0.1,-2.5434493308598753,-0.12655066914011215
1991-07-31,-0.789999999999992,1.4,-2.5261026802857316,1.7361026802857396
1991-08-31,2.4181818181818358,5.1,-2.5087560297115914,4.926937847893427
1991-09-30,10.333333333333343,11.7,-2.491409379137451,12.824742712470794
1991-10-31,6.063636363636363,8.6,-2.474062728563311,8.537699092199674
1991-11-30,7.881818181818176,9.2,-2.456716077989171,10.338534259807346
1991-12-31,-4.390909090909076,-3.2,-2.4393694274150306,-1.9515396634940458
1992-01-31,-1.2909090909091105,-0.8,-2.422022776840887,1.1311136859317763
1992-02-29,-10.609999999999985,-9.0,-2.4046761262667466,-8.205323873733239
1992-03-31,-14.983333333333348,-13.6,-2.3873294756926065,-12.596003857640742
1992-04-30,-14.783333333333331,-12.9,-2.3699828251184663,-12.413350508214865
1992-05-31,-10.033333333333303,-8.1,-2.352636174544326,-7.680697158788977
1992-06-30,-10.669999999999987,-8.1,-2.3352895239701823,-8.334710476029805
1992-07-31,-6.489999999999981,-4.3,-2.317942873396042,-4.172057126603939
1992-08-31,-6.381818181818176,-3.7,-2.300596222821902,-4.081221958996274
1992-09-30,-2.666666666666657,-1.3,-2.2832495722477617,-0.3834170944188955
1992-10-31,-5.73636363636362,-3.2,-2.2659029216736215,-3.470460714689999
1992-11-30,2.3818181818181756,3.7,-2.2485562710994813,4.630374452917657
1992-12-31,-0.5909090909090935,0.6,-2.2312096205253376,1.640300529616244
1993-01-31,-6.0909090909090935,-5.6,-2.2138629699511974,-3.877046120957896
1993-02-28,-0.7099999999999795,0.9,-2.196516319377057,1.4865163193770776
1993-03-31,3.316666666666663,4.7,-2.179169668802917,5.49583633546958
1993-04-30,-0.28333333333333144,1.6,-2.1618230182287768,1.8784896848954453
1993-05-31,-2.533333333333303,-0.6,-2.144476367654633,-0.38885696567867
1993-06-30,-3.869999999999976,-1.3,-2.127129717080493,-1.7428702829194833
1993-07-31,-2.5900000000000034,-0.4,-2.1097830665063526,-0.4802169334936508
1993-08-31,-1.5818181818181642,1.1,-2.0924364159322124,0.5106182341140482
1993-09-30,-2.8666666666666742,-1.5,-2.075089765358072,-0.791576901308602
1993-10-31,-2.136363636363626,0.4,-2.057743114783932,-0.07862052157969401
1993-11-30,-3.4181818181818073,-2.1,-2.0403964642097883,-1.377785353972019
1993-12-31,-2.790909090909082,-1.6,-2.023049813635648,-0.7678592772734341
1994-01-31,0.4090909090909065,0.9,-2.005703163061508,2.4147940721524144
1994-02-28,-6.509999999999991,-4.9,-1.9883565124873677,-4.521643487512623
1994-03-31,-3.883333333333354,-2.5,-1.9710098619132275,-1.9123234714201267
1994-04-30,-0.28333333333333144,1.6,-1.9536632113390837,1.6703298780057523
1994-05-31,-1.033333333333303,0.9,-1.9363165607649435,0.9029832274316405
1994-06-30,-2.6699999999999875,-0.1,-1.9189699101908033,-0.7510300898091842
1994-07-31,2.3100000000000023,4.5,-1.9016232596166631,4.211623259616665
1994-08-31,1.318181818181813,4.0,-1.884276609042523,3.202458427224336
1994-09-30,6.133333333333326,7.5,-1.8669299584683827,8.000263291801708
1994-10-31,0.4636363636363683,3.0,-1.849583307894239,2.3132196715306073
1994-11-30,2.98181818181817,4.3,-1.8322366573200988,4.814054839138269
1994-12-31,4.609090909090924,5.8,-1.8148900067459586,6.423980915836882
1995-01-31,1.8090909090908838,2.3,-1.7975433561718184,3.606634265262702
1995-02-28,-1.509999999999991,0.1,-1.7801967055976782,0.27019670559768727
1995-03-31,-6.883333333333354,-5.5,-1.7628500550235344,-5.12048327830982
1995-04-30,-4.383333333333326,-2.5,-1.7455034044493942,-2.6378299288839315
1995-05-31,-3.333333333333286,-1.4,-1.728156753875254,-1.605176579458032
1995-06-30,-6.269999999999982,-3.7,-1.7108101033011138,-4.559189896698868
1995-07-31,-7.289999999999992,-5.1,-1.6934634527269736,-5.596536547273018
1995-08-31,-10.98181818181817,-8.3,-1.6761168021528334,-9.305701379665337
1995-09-30,-9.066666666666663,-7.7,-1.6587701515786897,-7.407896515087973
1995-10-31,-6.73636363636362,-4.2,-1.6414235010045495,-5.094940135359071
1995-11-30,-6.51818181818183,-5.2,-1.6240768504304093,-4.894104967751421
1995-12-31,-3.690909090909088,-2.5,-1.606730199856269,-2.0841788910528187
1996-01-31,0.4090909090909065,0.9,-1.5893835492821289,1.9984744583730354
