,msla,msla (orig),trend,msla (detrend)
1976-11-30,-18.383333333333326,-15.8,-15.197928238693564,-3.185405094639762
1976-12-31,-14.78333333333336,-9.8,-15.151406993700732,0.3680736603673722
1977-01-31,-18.70909090909089,-13.1,-15.1048857487079,-3.604205160382989
1977-02-28,-7.249999999999986,-5.3,-15.058364503715069,7.808364503715083
1977-03-31,-1.2833333333333456,1.2,-15.01184325872223,13.728509925388884
1977-04-30,-2.083333333333357,1.0,-14.965322013729399,12.881988680396042
1977-05-31,-3.8416666666666686,-0.6,-14.918800768736567,11.077134102069898
1977-06-30,-3.61666666666666,-1.1,-14.872279523743735,11.255612857077075
1977-07-31,-5.700000000000003,-3.4,-14.825758278750904,9.1257582787509
1977-08-31,-8.227272727272748,-6.6,-14.779237033758065,6.551964306485317
1977-09-30,-11.25454545454545,-9.7,-14.732715788765233,3.478170334219783
1977-10-31,-5.64166666666668,-3.4,-14.686194543772402,9.044527877105722
1977-11-30,-6.883333333333326,-4.3,-14.63967329877957,7.756339965446244
1977-12-31,-10.183333333333351,-5.2,-14.593152053786731,4.40981872045338
1978-01-31,-13.809090909090898,-8.2,-14.5466308087939,0.7375398997030018
1978-02-28,-0.5499999999999972,1.4,-14.500109563801068,13.950109563801071
1978-03-31,,,-14.453588318808237,
1978-04-30,-4.683333333333351,-1.6,-14.407067073815405,9.723733740482054
1978-05-31,-5.141666666666666,-1.9,-14.360545828822566,9.2188791621559
1978-06-30,-5.316666666666663,-2.8,-14.314024583829735,8.997357917163072
1978-07-31,-6.3999999999999915,-4.1,-14.267503338836903,7.8675033388369116
1978-08-31,-0.12727272727273942,1.5,-14.220982093844071,14.093709366571332
1978-09-30,-4.354545454545445,-2.8,-14.174460848851233,9.819915394305788
1978-10-31,-8.741666666666674,-6.5,-14.127939603858401,5.386272937191727
1978-11-30,-3.9833333333333343,-1.4,-14.08141835886557,10.098085025532235
1978-12-31,-10.983333333333363,-6.0,-14.034897113872738,3.051563780539375
1979-01-31,-8.20909090909089,-2.6,-13.9883758688799,5.77928495978901
1979-02-28,-7.849999999999994,-5.9,-13.941854623887068,6.091854623887073
1979-03-31,,,-13.895333378894236,
1979-04-30,,,-13.848812133901404,
